('Complexity', 'Anthropology', 'Physics', 'Mathematics', 'Education'),1
('Complexity', 'Anthropology', 'Physics', 'Mathematics', 'Computer Science'),2
('Complexity', 'Anthropology', 'Physics', 'Cognitive Science', 'Biology'),1
('Complexity', 'Anthropology', 'Physics', 'Cognitive Science', 'Education'),1
('Complexity', 'Anthropology', 'Physics', 'Cognitive Science', 'Computer Science'),1
('Complexity', 'Anthropology', 'Physics', 'Biology', 'Education'),1
('Complexity', 'Anthropology', 'Physics', 'Biology', 'Computer Science'),1
('Complexity', 'Anthropology', 'Physics', 'Education', 'Computer Science'),1
('Complexity', 'Anthropology', 'Linguistics', 'Arts', 'Mathematics'),2
('Complexity', 'Anthropology', 'Linguistics', 'Arts', 'Cognitive Science'),1
('Complexity', 'Anthropology', 'Linguistics', 'Arts', 'Biology'),1
('Complexity', 'Anthropology', 'Linguistics', 'Arts', 'Education'),1
('Complexity', 'Anthropology', 'Linguistics', 'Arts', 'Computer Science'),2
('Complexity', 'Anthropology', 'Linguistics', 'Mathematics', 'Cognitive Science'),1
('Complexity', 'Anthropology', 'Linguistics', 'Mathematics', 'Biology'),1
('Complexity', 'Anthropology', 'Linguistics', 'Mathematics', 'Education'),1
('Complexity', 'Anthropology', 'Linguistics', 'Mathematics', 'Computer Science'),2
('Complexity', 'Anthropology', 'Linguistics', 'Cognitive Science', 'Biology'),1
('Complexity', 'Anthropology', 'Linguistics', 'Cognitive Science', 'Education'),1
('Complexity', 'Anthropology', 'Linguistics', 'Cognitive Science', 'Computer Science'),1
('Complexity', 'Anthropology', 'Linguistics', 'Biology', 'Education'),1
('Complexity', 'Anthropology', 'Linguistics', 'Biology', 'Computer Science'),1
('Complexity', 'Anthropology', 'Linguistics', 'Education', 'Computer Science'),1
('Complexity', 'Anthropology', 'Arts', 'Mathematics', 'Cognitive Science'),1
('Complexity', 'Anthropology', 'Arts', 'Mathematics', 'Biology'),1
('Complexity', 'Anthropology', 'Arts', 'Mathematics', 'Education'),1
('Complexity', 'Anthropology', 'Arts', 'Mathematics', 'Computer Science'),2
('Complexity', 'Anthropology', 'Arts', 'Cognitive Science', 'Biology'),1
('Complexity', 'Anthropology', 'Arts', 'Cognitive Science', 'Education'),1
('Complexity', 'Anthropology', 'Arts', 'Cognitive Science', 'Computer Science'),1
('Complexity', 'Anthropology', 'Arts', 'Biology', 'Education'),1
('Complexity', 'Anthropology', 'Arts', 'Biology', 'Computer Science'),1
('Complexity', 'Anthropology', 'Arts', 'Education', 'Computer Science'),1
('Complexity', 'Anthropology', 'Mathematics', 'Cognitive Science', 'Biology'),1
('Complexity', 'Anthropology', 'Mathematics', 'Cognitive Science', 'Education'),1
('Complexity', 'Anthropology', 'Mathematics', 'Cognitive Science', 'Computer Science'),1
('Complexity', 'Anthropology', 'Mathematics', 'Biology', 'Education'),1
('Complexity', 'Anthropology', 'Mathematics', 'Biology', 'Computer Science'),1
('Complexity', 'Anthropology', 'Mathematics', 'Education', 'Computer Science'),1
('Complexity', 'Anthropology', 'Cognitive Science', 'Biology', 'Education'),1
('Complexity', 'Anthropology', 'Cognitive Science', 'Biology', 'Computer Science'),1
('Complexity', 'Anthropology', 'Cognitive Science', 'Education', 'Computer Science'),1
('Complexity', 'Anthropology', 'Biology', 'Education', 'Computer Science'),1
('Complexity', 'Physics', 'Linguistics', 'Arts', 'Mathematics'),2
('Complexity', 'Physics', 'Linguistics', 'Arts', 'Cognitive Science'),1
('Complexity', 'Physics', 'Linguistics', 'Arts', 'Biology'),1
('Complexity', 'Physics', 'Linguistics', 'Arts', 'Education'),1
('Complexity', 'Physics', 'Linguistics', 'Arts', 'Computer Science'),2
('Complexity', 'Physics', 'Linguistics', 'Mathematics', 'Cognitive Science'),1
('Complexity', 'Physics', 'Linguistics', 'Mathematics', 'Biology'),1
('Complexity', 'Physics', 'Linguistics', 'Mathematics', 'Education'),1
('Complexity', 'Physics', 'Linguistics', 'Mathematics', 'Computer Science'),2
('Complexity', 'Physics', 'Linguistics', 'Cognitive Science', 'Biology'),1
('Complexity', 'Physics', 'Linguistics', 'Cognitive Science', 'Education'),1
('Complexity', 'Physics', 'Linguistics', 'Cognitive Science', 'Computer Science'),1
('Complexity', 'Physics', 'Linguistics', 'Biology', 'Education'),1
('Complexity', 'Physics', 'Linguistics', 'Biology', 'Computer Science'),1
('Complexity', 'Physics', 'Linguistics', 'Education', 'Computer Science'),1
('Complexity', 'Physics', 'Arts', 'Mathematics', 'Cognitive Science'),1
('Complexity', 'Physics', 'Arts', 'Mathematics', 'Biology'),2
('Complexity', 'Physics', 'Arts', 'Mathematics', 'Education'),2
('Complexity', 'Physics', 'Arts', 'Mathematics', 'Computer Science'),3
('Complexity', 'Physics', 'Arts', 'Cognitive Science', 'Biology'),1
('Complexity', 'Physics', 'Arts', 'Cognitive Science', 'Education'),1
('Complexity', 'Physics', 'Arts', 'Cognitive Science', 'Computer Science'),1
('Complexity', 'Physics', 'Arts', 'Biology', 'Education'),2
('Complexity', 'Physics', 'Arts', 'Biology', 'Computer Science'),2
('Complexity', 'Physics', 'Arts', 'Education', 'Computer Science'),2
('Complexity', 'Physics', 'Mathematics', 'Cognitive Science', 'Biology'),2
('Complexity', 'Physics', 'Mathematics', 'Cognitive Science', 'Education'),1
('Complexity', 'Physics', 'Mathematics', 'Cognitive Science', 'Computer Science'),2
('Complexity', 'Physics', 'Mathematics', 'Biology', 'Education'),2
('Complexity', 'Physics', 'Mathematics', 'Biology', 'Computer Science'),3
('Complexity', 'Physics', 'Mathematics', 'Education', 'Computer Science'),2
('Complexity', 'Physics', 'Cognitive Science', 'Biology', 'Education'),1
('Complexity', 'Physics', 'Cognitive Science', 'Biology', 'Computer Science'),2
('Complexity', 'Physics', 'Cognitive Science', 'Education', 'Computer Science'),1
('Complexity', 'Physics', 'Biology', 'Education', 'Computer Science'),2
('Complexity', 'Linguistics', 'Arts', 'Mathematics', 'Cognitive Science'),2
('Complexity', 'Linguistics', 'Arts', 'Mathematics', 'Biology'),2
('Complexity', 'Linguistics', 'Arts', 'Mathematics', 'Education'),1
('Complexity', 'Linguistics', 'Arts', 'Mathematics', 'Computer Science'),2
('Complexity', 'Linguistics', 'Arts', 'Cognitive Science', 'Biology'),2
('Complexity', 'Linguistics', 'Arts', 'Cognitive Science', 'Education'),1
('Complexity', 'Linguistics', 'Arts', 'Cognitive Science', 'Computer Science'),1
('Complexity', 'Linguistics', 'Arts', 'Biology', 'Education'),1
('Complexity', 'Linguistics', 'Arts', 'Biology', 'Computer Science'),1
('Complexity', 'Linguistics', 'Arts', 'Education', 'Computer Science'),1
('Complexity', 'Linguistics', 'Mathematics', 'Cognitive Science', 'Biology'),2
('Complexity', 'Linguistics', 'Mathematics', 'Cognitive Science', 'Education'),2
('Complexity', 'Linguistics', 'Mathematics', 'Cognitive Science', 'Computer Science'),2
('Complexity', 'Linguistics', 'Mathematics', 'Biology', 'Education'),1
('Complexity', 'Linguistics', 'Mathematics', 'Biology', 'Computer Science'),1
('Complexity', 'Linguistics', 'Mathematics', 'Education', 'Computer Science'),2
('Complexity', 'Linguistics', 'Cognitive Science', 'Biology', 'Education'),1
('Complexity', 'Linguistics', 'Cognitive Science', 'Biology', 'Computer Science'),1
('Complexity', 'Linguistics', 'Cognitive Science', 'Education', 'Computer Science'),2
('Complexity', 'Linguistics', 'Biology', 'Education', 'Computer Science'),1
('Complexity', 'Arts', 'Mathematics', 'Cognitive Science', 'Biology'),2
('Complexity', 'Arts', 'Mathematics', 'Cognitive Science', 'Education'),1
('Complexity', 'Arts', 'Mathematics', 'Cognitive Science', 'Computer Science'),1
('Complexity', 'Arts', 'Mathematics', 'Biology', 'Education'),2
('Complexity', 'Arts', 'Mathematics', 'Biology', 'Computer Science'),2
('Complexity', 'Arts', 'Mathematics', 'Education', 'Computer Science'),2
('Complexity', 'Arts', 'Cognitive Science', 'Biology', 'Education'),1
('Complexity', 'Arts', 'Cognitive Science', 'Biology', 'Computer Science'),1
('Complexity', 'Arts', 'Cognitive Science', 'Education', 'Computer Science'),1
('Complexity', 'Arts', 'Biology', 'Education', 'Computer Science'),2
('Complexity', 'Mathematics', 'Cognitive Science', 'Biology', 'Education'),1
('Complexity', 'Mathematics', 'Cognitive Science', 'Biology', 'Computer Science'),2
('Complexity', 'Mathematics', 'Cognitive Science', 'Education', 'Computer Science'),3
('Complexity', 'Mathematics', 'Biology', 'Education', 'Computer Science'),2
('Complexity', 'Cognitive Science', 'Biology', 'Education', 'Computer Science'),1
('Anthropology', 'Physics', 'Linguistics', 'Arts', 'Mathematics'),2
('Anthropology', 'Physics', 'Linguistics', 'Arts', 'Cognitive Science'),1
('Anthropology', 'Physics', 'Linguistics', 'Arts', 'Biology'),1
('Anthropology', 'Physics', 'Linguistics', 'Arts', 'Education'),1
('Anthropology', 'Physics', 'Linguistics', 'Arts', 'Computer Science'),2
('Anthropology', 'Physics', 'Linguistics', 'Mathematics', 'Cognitive Science'),1
('Anthropology', 'Physics', 'Linguistics', 'Mathematics', 'Biology'),1
('Anthropology', 'Physics', 'Linguistics', 'Mathematics', 'Education'),1
('Anthropology', 'Physics', 'Linguistics', 'Mathematics', 'Computer Science'),2
('Anthropology', 'Physics', 'Linguistics', 'Cognitive Science', 'Biology'),1
('Anthropology', 'Physics', 'Linguistics', 'Cognitive Science', 'Education'),1
('Anthropology', 'Physics', 'Linguistics', 'Cognitive Science', 'Computer Science'),1
('Anthropology', 'Physics', 'Linguistics', 'Biology', 'Education'),1
('Anthropology', 'Physics', 'Linguistics', 'Biology', 'Computer Science'),1
('Anthropology', 'Physics', 'Linguistics', 'Education', 'Computer Science'),1
('Anthropology', 'Physics', 'Arts', 'Mathematics', 'Cognitive Science'),1
('Anthropology', 'Physics', 'Arts', 'Mathematics', 'Biology'),1
('Anthropology', 'Physics', 'Arts', 'Mathematics', 'Education'),1
('Anthropology', 'Physics', 'Arts', 'Mathematics', 'Computer Science'),2
('Anthropology', 'Physics', 'Arts', 'Cognitive Science', 'Biology'),1
('Anthropology', 'Physics', 'Arts', 'Cognitive Science', 'Education'),1
('Anthropology', 'Physics', 'Arts', 'Cognitive Science', 'Computer Science'),1
('Anthropology', 'Physics', 'Arts', 'Biology', 'Education'),1
('Anthropology', 'Physics', 'Arts', 'Biology', 'Computer Science'),1
('Anthropology', 'Physics', 'Arts', 'Education', 'Computer Science'),1
('Anthropology', 'Physics', 'Mathematics', 'Cognitive Science', 'Biology'),1
('Anthropology', 'Physics', 'Mathematics', 'Cognitive Science', 'Education'),1
('Anthropology', 'Physics', 'Mathematics', 'Cognitive Science', 'Computer Science'),1
